numX,Rsq,N,Alpha,Type,Power
1,0.02,50,0.1,Theory,0.266777042
1,0.02,100,0.1,Theory,0.415441976
1,0.02,150,0.1,Theory,0.542069349
1,0.02,250,0.1,Theory,0.730412006
1,0.02,500,0.1,Theory,0.939373373
1,0.02,1000,0.1,Theory,0.997965008
1,0.07,50,0.1,Theory,0.616211961
1,0.07,100,0.1,Theory,0.864048097
1,0.07,150,0.1,Theory,0.956850936
1,0.07,250,0.1,Theory,0.996459669
1,0.07,500,0.1,Theory,0.999996436
1,0.07,1000,0.1,Theory,1
1,0.13,50,0.1,Theory,0.861820472
1,0.13,100,0.1,Theory,0.986814479
1,0.13,150,0.1,Theory,0.998997421
1,0.13,250,0.1,Theory,0.999996036
1,0.13,500,0.1,Theory,1
1,0.13,1000,0.1,Theory,1
1,0.26,50,0.1,Theory,0.99455977
1,0.26,100,0.1,Theory,0.999990765
1,0.26,150,0.1,Theory,0.99999999
1,0.26,250,0.1,Theory,1
1,0.26,500,0.1,Theory,1
1,0.26,1000,0.1,Theory,1
1,0.02,50,0.05,Theory,0.17259247
1,0.02,100,0.05,Theory,0.297924724
1,0.02,150,0.05,Theory,0.416809458
1,0.02,250,0.05,Theory,0.617468161
1,0.02,500,0.05,Theory,0.891476691
1,0.02,1000,0.05,Theory,0.994729767
1,0.07,50,0.05,Theory,0.492067803
1,0.07,100,0.05,Theory,0.783349858
1,0.07,150,0.05,Theory,0.919264882
1,0.07,250,0.05,Theory,0.991294609
1,0.07,500,0.05,Theory,0.999985083
1,0.07,1000,0.05,Theory,1
1,0.13,50,0.05,Theory,0.780357725
1,0.13,100,0.05,Theory,0.97164847
1,0.13,150,0.05,Theory,0.997234451
1,0.13,250,0.05,Theory,0.999983522
1,0.13,500,0.05,Theory,1
1,0.13,1000,0.05,Theory,1
1,0.26,50,0.05,Theory,0.987172818
1,0.26,100,0.05,Theory,0.999963689
1,0.26,150,0.05,Theory,0.999999942
1,0.26,250,0.05,Theory,1
1,0.26,500,0.05,Theory,1
1,0.26,1000,0.05,Theory,1
1,0.02,50,0.01,Theory,0.058880061
1,0.02,100,0.01,Theory,0.125668617
1,0.02,150,0.01,Theory,0.204354701
1,0.02,250,0.01,Theory,0.375599877
1,0.02,500,0.01,Theory,0.73189474
1,0.02,1000,0.01,Theory,0.973913904
1,0.07,50,0.01,Theory,0.262433629
1,0.07,100,0.01,Theory,0.566585291
1,0.07,150,0.01,Theory,0.783561564
1,0.07,250,0.01,Theory,0.960969648
1,0.07,500,0.01,Theory,0.999813766
1,0.07,1000,0.01,Theory,0.999999999
1,0.13,50,0.01,Theory,0.562587285
1,0.13,100,0.01,Theory,0.901427341
1,0.13,150,0.01,Theory,0.984555179
1,0.13,250,0.01,Theory,0.999797
1,0.13,500,0.01,Theory,0.999999999
1,0.13,1000,0.01,Theory,1
1,0.26,50,0.01,Theory,0.94690298
1,0.26,100,0.01,Theory,0.999598358
1,0.26,150,0.01,Theory,0.999998592
1,0.26,250,0.01,Theory,1
1,0.26,500,0.01,Theory,1
1,0.26,1000,0.01,Theory,1
1,0.02,50,0.1,ML,0.2885
1,0.02,100,0.1,ML,0.427
1,0.02,150,0.1,ML,0.536
1,0.02,250,0.1,ML,0.737
1,0.02,500,0.1,ML,0.932
1,0.02,1000,0.1,ML,0.998
1,0.07,50,0.1,ML,0.6105
1,0.07,100,0.1,ML,0.8665
1,0.07,150,0.1,ML,0.95
1,0.07,250,0.1,ML,0.997
1,0.07,500,0.1,ML,1
1,0.07,1000,0.1,ML,1
1,0.13,50,0.1,ML,0.847
1,0.13,100,0.1,ML,0.9825
1,0.13,150,0.1,ML,0.9995
1,0.13,250,0.1,ML,1
1,0.13,500,0.1,ML,1
1,0.13,1000,0.1,ML,1
1,0.26,50,0.1,ML,0.991
1,0.26,100,0.1,ML,1
1,0.26,150,0.1,ML,1
1,0.26,250,0.1,ML,1
1,0.26,500,0.1,ML,1
1,0.26,1000,0.1,ML,1
1,0.02,50,0.05,ML,0.203
1,0.02,100,0.05,ML,0.3055
1,0.02,150,0.05,ML,0.4115
1,0.02,250,0.05,ML,0.625
1,0.02,500,0.05,ML,0.8865
1,0.02,1000,0.05,ML,0.9945
1,0.07,50,0.05,ML,0.502
1,0.07,100,0.05,ML,0.7915
1,0.07,150,0.05,ML,0.9155
1,0.07,250,0.05,ML,0.9905
1,0.07,500,0.05,ML,1
1,0.07,1000,0.05,ML,1
1,0.13,50,0.05,ML,0.7625
1,0.13,100,0.05,ML,0.9645
1,0.13,150,0.05,ML,0.997
1,0.13,250,0.05,ML,1
1,0.13,500,0.05,ML,1
1,0.13,1000,0.05,ML,1
1,0.26,50,0.05,ML,0.98
1,0.26,100,0.05,ML,1
1,0.26,150,0.05,ML,1
1,0.26,250,0.05,ML,1
1,0.26,500,0.05,ML,1
1,0.26,1000,0.05,ML,1
1,0.02,50,0.01,ML,0.0745
1,0.02,100,0.01,ML,0.1405
1,0.02,150,0.01,ML,0.2125
1,0.02,250,0.01,ML,0.3905
1,0.02,500,0.01,ML,0.736
1,0.02,1000,0.01,ML,0.974
1,0.07,50,0.01,ML,0.287
1,0.07,100,0.01,ML,0.566
1,0.07,150,0.01,ML,0.7795
1,0.07,250,0.01,ML,0.961
1,0.07,500,0.01,ML,1
1,0.07,1000,0.01,ML,1
1,0.13,50,0.01,ML,0.543
1,0.13,100,0.01,ML,0.899
1,0.13,150,0.01,ML,0.9795
1,0.13,250,0.01,ML,0.9995
1,0.13,500,0.01,ML,1
1,0.13,1000,0.01,ML,1
1,0.26,50,0.01,ML,0.9345
1,0.26,100,0.01,ML,0.999
1,0.26,150,0.01,ML,1
1,0.26,250,0.01,ML,1
1,0.26,500,0.01,ML,1
1,0.26,1000,0.01,ML,1
1,0.02,50,0.1,MLR,0.308
1,0.02,100,0.1,MLR,0.442
1,0.02,150,0.1,MLR,0.538
1,0.02,250,0.1,MLR,0.7385
1,0.02,500,0.1,MLR,0.932
1,0.02,1000,0.1,MLR,0.997
1,0.07,50,0.1,MLR,0.626
1,0.07,100,0.1,MLR,0.8665
1,0.07,150,0.1,MLR,0.951
1,0.07,250,0.1,MLR,0.9975
1,0.07,500,0.1,MLR,1
1,0.07,1000,0.1,MLR,1
1,0.13,50,0.1,MLR,0.8475
1,0.13,100,0.1,MLR,0.9805
1,0.13,150,0.1,MLR,0.9995
1,0.13,250,0.1,MLR,1
1,0.13,500,0.1,MLR,1
1,0.13,1000,0.1,MLR,1
1,0.26,50,0.1,MLR,0.9895
1,0.26,100,0.1,MLR,1
1,0.26,150,0.1,MLR,1
1,0.26,250,0.1,MLR,1
1,0.26,500,0.1,MLR,1
1,0.26,1000,0.1,MLR,1
1,0.02,50,0.05,MLR,0.22
1,0.02,100,0.05,MLR,0.323
1,0.02,150,0.05,MLR,0.4245
1,0.02,250,0.05,MLR,0.6235
1,0.02,500,0.05,MLR,0.8865
1,0.02,1000,0.05,MLR,0.994
1,0.07,50,0.05,MLR,0.518
1,0.07,100,0.05,MLR,0.78
1,0.07,150,0.05,MLR,0.9105
1,0.07,250,0.05,MLR,0.991
1,0.07,500,0.05,MLR,1
1,0.07,1000,0.05,MLR,1
1,0.13,50,0.05,MLR,0.7715
1,0.13,100,0.05,MLR,0.9675
1,0.13,150,0.05,MLR,0.9975
1,0.13,250,0.05,MLR,1
1,0.13,500,0.05,MLR,1
1,0.13,1000,0.05,MLR,1
1,0.26,50,0.05,MLR,0.98
1,0.26,100,0.05,MLR,1
1,0.26,150,0.05,MLR,1
1,0.26,250,0.05,MLR,1
1,0.26,500,0.05,MLR,1
1,0.26,1000,0.05,MLR,1
1,0.02,50,0.01,MLR,0.098
1,0.02,100,0.01,MLR,0.164
1,0.02,150,0.01,MLR,0.2275
1,0.02,250,0.01,MLR,0.401
1,0.02,500,0.01,MLR,0.737
1,0.02,1000,0.01,MLR,0.974
1,0.07,50,0.01,MLR,0.3205
1,0.07,100,0.01,MLR,0.5825
1,0.07,150,0.01,MLR,0.7885
1,0.07,250,0.01,MLR,0.9625
1,0.07,500,0.01,MLR,1
1,0.07,1000,0.01,MLR,1
1,0.13,50,0.01,MLR,0.579
1,0.13,100,0.01,MLR,0.8955
1,0.13,150,0.01,MLR,0.9805
1,0.13,250,0.01,MLR,0.9995
1,0.13,500,0.01,MLR,1
1,0.13,1000,0.01,MLR,1
1,0.26,50,0.01,MLR,0.933
1,0.26,100,0.01,MLR,0.9985
1,0.26,150,0.01,MLR,1
1,0.26,250,0.01,MLR,1
1,0.26,500,0.01,MLR,1
1,0.26,1000,0.01,MLR,1
1,0.02,50,0.1,Bayes,0.256
1,0.02,100,0.1,Bayes,0.4005
1,0.02,150,0.1,Bayes,0.521
1,0.02,250,0.1,Bayes,0.7265
1,0.02,500,0.1,Bayes,0.932
1,0.02,1000,0.1,Bayes,0.998
1,0.07,50,0.1,Bayes,0.5835
1,0.07,100,0.1,Bayes,0.8515
1,0.07,150,0.1,Bayes,0.948
1,0.07,250,0.1,Bayes,0.9965
1,0.07,500,0.1,Bayes,1
1,0.07,1000,0.1,Bayes,1
1,0.13,50,0.1,Bayes,0.822
1,0.13,100,0.1,Bayes,0.981
1,0.13,150,0.1,Bayes,0.999
1,0.13,250,0.1,Bayes,1
1,0.13,500,0.1,Bayes,1
1,0.13,1000,0.1,Bayes,1
1,0.26,50,0.1,Bayes,0.9855
1,0.26,100,0.1,Bayes,1
1,0.26,150,0.1,Bayes,1
1,0.26,250,0.1,Bayes,1
1,0.26,500,0.1,Bayes,1
1,0.26,1000,0.1,Bayes,1
1,0.02,50,0.05,Bayes,0.1665
1,0.02,100,0.05,Bayes,0.2865
1,0.02,150,0.05,Bayes,0.3965
1,0.02,250,0.05,Bayes,0.615
1,0.02,500,0.05,Bayes,0.885
1,0.02,1000,0.05,Bayes,0.9945
1,0.07,50,0.05,Bayes,0.4595
1,0.07,100,0.05,Bayes,0.7665
1,0.07,150,0.05,Bayes,0.9085
1,0.07,250,0.05,Bayes,0.9905
1,0.07,500,0.05,Bayes,1
1,0.07,1000,0.05,Bayes,1
1,0.13,50,0.05,Bayes,0.733
1,0.13,100,0.05,Bayes,0.9615
1,0.13,150,0.05,Bayes,0.996
1,0.13,250,0.05,Bayes,1
1,0.13,500,0.05,Bayes,1
1,0.13,1000,0.05,Bayes,1
1,0.26,50,0.05,Bayes,0.9715
1,0.26,100,0.05,Bayes,1
1,0.26,150,0.05,Bayes,1
1,0.26,250,0.05,Bayes,1
1,0.26,500,0.05,Bayes,1
1,0.26,1000,0.05,Bayes,1
1,0.02,50,0.01,Bayes,0.05
1,0.02,100,0.01,Bayes,0.125
1,0.02,150,0.01,Bayes,0.201
1,0.02,250,0.01,Bayes,0.382
1,0.02,500,0.01,Bayes,0.7325
1,0.02,1000,0.01,Bayes,0.9735
1,0.07,50,0.01,Bayes,0.2365
1,0.07,100,0.01,Bayes,0.5405
1,0.07,150,0.01,Bayes,0.766
1,0.07,250,0.01,Bayes,0.9605
1,0.07,500,0.01,Bayes,1
1,0.07,1000,0.01,Bayes,1
1,0.13,50,0.01,Bayes,0.489
1,0.13,100,0.01,Bayes,0.883
1,0.13,150,0.01,Bayes,0.9775
1,0.13,250,0.01,Bayes,0.9995
1,0.13,500,0.01,Bayes,1
1,0.13,1000,0.01,Bayes,1
1,0.26,50,0.01,Bayes,0.9165
1,0.26,100,0.01,Bayes,0.999
1,0.26,150,0.01,Bayes,1
1,0.26,250,0.01,Bayes,1
1,0.26,500,0.01,Bayes,1
1,0.26,1000,0.01,Bayes,1
2,0.02,50,0.1,Theory,0.220073045
2,0.02,100,0.1,Theory,0.339014399
2,0.02,150,0.1,Theory,0.450150944
2,0.02,250,0.1,Theory,0.636412817
2,0.02,500,0.1,Theory,0.893140462
2,0.02,1000,0.1,Theory,0.994322643
2,0.07,50,0.1,Theory,0.52008653
2,0.07,100,0.1,Theory,0.790961759
2,0.07,150,0.1,Theory,0.919790873
2,0.07,250,0.1,Theory,0.990756997
2,0.07,500,0.1,Theory,0.999981244
2,0.07,1000,0.1,Theory,1
2,0.13,50,0.1,Theory,0.788157097
2,0.13,100,0.1,Theory,0.970929631
2,0.13,150,0.1,Theory,0.996965797
2,0.13,250,0.1,Theory,0.999979332
2,0.13,500,0.1,Theory,1
2,0.13,1000,0.1,Theory,1
2,0.26,50,0.1,Theory,0.986534147
2,0.26,100,0.1,Theory,0.999955332
2,0.26,150,0.1,Theory,0.999999917
2,0.26,250,0.1,Theory,1
2,0.26,500,0.1,Theory,1
2,0.26,1000,0.1,Theory,1
2,0.02,50,0.05,Theory,0.134530083
2,0.02,100,0.05,Theory,0.229442144
2,0.02,150,0.05,Theory,0.327376939
2,0.02,250,0.05,Theory,0.512254582
2,0.02,500,0.05,Theory,0.823594688
2,0.02,1000,0.05,Theory,0.986801744
2,0.07,50,0.05,Theory,0.393615898
2,0.07,100,0.05,Theory,0.689320978
2,0.07,150,0.05,Theory,0.862121515
2,0.07,250,0.05,Theory,0.979531356
2,0.07,500,0.05,Theory,0.999931383
2,0.07,1000,0.05,Theory,1
2,0.13,50,0.05,Theory,0.685865903
2,0.13,100,0.05,Theory,0.943189432
2,0.13,150,0.05,Theory,0.992515953
2,0.13,250,0.05,Theory,0.999924879
2,0.13,500,0.05,Theory,1
2,0.13,1000,0.05,Theory,1
2,0.26,50,0.05,Theory,0.971326891
2,0.26,100,0.05,Theory,0.999845995
2,0.26,150,0.05,Theory,0.999999581
2,0.26,250,0.05,Theory,1
2,0.26,500,0.05,Theory,1
2,0.26,1000,0.05,Theory,1
2,0.02,50,0.01,Theory,0.041155984
2,0.02,100,0.01,Theory,0.086537582
2,0.02,150,0.01,Theory,0.143670594
2,0.02,250,0.01,Theory,0.280634896
2,0.02,500,0.01,Theory,0.626670404
2,0.02,1000,0.01,Theory,0.947234509
2,0.07,50,0.01,Theory,0.188209071
2,0.07,100,0.01,Theory,0.454437293
2,0.07,150,0.01,Theory,0.685985696
2,0.07,250,0.01,Theory,0.925346845
2,0.07,500,0.01,Theory,0.999346589
2,0.07,1000,0.01,Theory,0.999999995
2,0.13,50,0.01,Theory,0.450547742
2,0.13,100,0.01,Theory,0.836101929
2,0.13,150,0.01,Theory,0.966520609
2,0.13,250,0.01,Theory,0.999293572
2,0.13,500,0.01,Theory,0.999999994
2,0.13,1000,0.01,Theory,1
2,0.26,50,0.01,Theory,0.902870606
2,0.26,100,0.01,Theory,0.998691742
2,0.26,150,0.01,Theory,0.999992507
2,0.26,250,0.01,Theory,1
2,0.26,500,0.01,Theory,1
2,0.26,1000,0.01,Theory,1
2,0.02,50,0.1,ML,0.2385
2,0.02,100,0.1,ML,0.3565
2,0.02,150,0.1,ML,0.451
2,0.02,250,0.1,ML,0.6565
2,0.02,500,0.1,ML,0.9025
2,0.02,1000,0.1,ML,0.9935
2,0.07,50,0.1,ML,0.546
2,0.07,100,0.1,ML,0.78
2,0.07,150,0.1,ML,0.9205
2,0.07,250,0.1,ML,0.986
2,0.07,500,0.1,ML,1
2,0.07,1000,0.1,ML,1
2,0.13,50,0.1,ML,0.798
2,0.13,100,0.1,ML,0.9725
2,0.13,150,0.1,ML,0.9955
2,0.13,250,0.1,ML,1
2,0.13,500,0.1,ML,1
2,0.13,1000,0.1,ML,1
2,0.26,50,0.1,ML,0.975
2,0.26,100,0.1,ML,0.9995
2,0.26,150,0.1,ML,1
2,0.26,250,0.1,ML,1
2,0.26,500,0.1,ML,1
2,0.26,1000,0.1,ML,1
2,0.02,50,0.05,ML,0.15
2,0.02,100,0.05,ML,0.25
2,0.02,150,0.05,ML,0.326
2,0.02,250,0.05,ML,0.528
2,0.02,500,0.05,ML,0.835
2,0.02,1000,0.05,ML,0.9865
2,0.07,50,0.05,ML,0.4325
2,0.07,100,0.05,ML,0.673
2,0.07,150,0.05,ML,0.861
2,0.07,250,0.05,ML,0.9725
2,0.07,500,0.05,ML,1
2,0.07,1000,0.05,ML,1
2,0.13,50,0.05,ML,0.7
2,0.13,100,0.05,ML,0.939
2,0.13,150,0.05,ML,0.9905
2,0.13,250,0.05,ML,1
2,0.13,500,0.05,ML,1
2,0.13,1000,0.05,ML,1
2,0.26,50,0.05,ML,0.958
2,0.26,100,0.05,ML,0.999
2,0.26,150,0.05,ML,1
2,0.26,250,0.05,ML,1
2,0.26,500,0.05,ML,1
2,0.26,1000,0.05,ML,1
2,0.02,50,0.01,ML,0.0565
2,0.02,100,0.01,ML,0.096
2,0.02,150,0.01,ML,0.1515
2,0.02,250,0.01,ML,0.285
2,0.02,500,0.01,ML,0.6315
2,0.02,1000,0.01,ML,0.9505
2,0.07,50,0.01,ML,0.2385
2,0.07,100,0.01,ML,0.443
2,0.07,150,0.01,ML,0.708
2,0.07,250,0.01,ML,0.9105
2,0.07,500,0.01,ML,1
2,0.07,1000,0.01,ML,1
2,0.13,50,0.01,ML,0.496
2,0.13,100,0.01,ML,0.8365
2,0.13,150,0.01,ML,0.964
2,0.13,250,0.01,ML,0.9985
2,0.13,500,0.01,ML,1
2,0.13,1000,0.01,ML,1
2,0.26,50,0.01,ML,0.881
2,0.26,100,0.01,ML,0.9975
2,0.26,150,0.01,ML,1
2,0.26,250,0.01,ML,1
2,0.26,500,0.01,ML,1
2,0.26,1000,0.01,ML,1
2,0.02,50,0.1,MLR,0.278
2,0.02,100,0.1,MLR,0.392
2,0.02,150,0.1,MLR,0.4715
2,0.02,250,0.1,MLR,0.6545
2,0.02,500,0.1,MLR,0.903
2,0.02,1000,0.1,MLR,0.9935
2,0.07,50,0.1,MLR,0.575
2,0.07,100,0.1,MLR,0.791
2,0.07,150,0.1,MLR,0.9205
2,0.07,250,0.1,MLR,0.9865
2,0.07,500,0.1,MLR,1
2,0.07,1000,0.1,MLR,1
2,0.13,50,0.1,MLR,0.812
2,0.13,100,0.1,MLR,0.972
2,0.13,150,0.1,MLR,0.995
2,0.13,250,0.1,MLR,1
2,0.13,500,0.1,MLR,1
2,0.13,1000,0.1,MLR,1
2,0.26,50,0.1,MLR,0.9815
2,0.26,100,0.1,MLR,0.999
2,0.26,150,0.1,MLR,1
2,0.26,250,0.1,MLR,1
2,0.26,500,0.1,MLR,1
2,0.26,1000,0.1,MLR,1
2,0.02,50,0.05,MLR,0.1945
2,0.02,100,0.05,MLR,0.2725
2,0.02,150,0.05,MLR,0.3465
2,0.02,250,0.05,MLR,0.5395
2,0.02,500,0.05,MLR,0.8385
2,0.02,1000,0.05,MLR,0.9865
2,0.07,50,0.05,MLR,0.4745
2,0.07,100,0.05,MLR,0.695
2,0.07,150,0.05,MLR,0.865
2,0.07,250,0.05,MLR,0.9725
2,0.07,500,0.05,MLR,1
2,0.07,1000,0.05,MLR,1
2,0.13,50,0.05,MLR,0.727
2,0.13,100,0.05,MLR,0.943
2,0.13,150,0.05,MLR,0.988
2,0.13,250,0.05,MLR,1
2,0.13,500,0.05,MLR,1
2,0.13,1000,0.05,MLR,1
2,0.26,50,0.05,MLR,0.9565
2,0.26,100,0.05,MLR,0.998
2,0.26,150,0.05,MLR,1
2,0.26,250,0.05,MLR,1
2,0.26,500,0.05,MLR,1
2,0.26,1000,0.05,MLR,1
2,0.02,50,0.01,MLR,0.108
2,0.02,100,0.01,MLR,0.2205
2,0.02,150,0.01,MLR,0.3045
2,0.02,250,0.01,MLR,0.5125
2,0.02,500,0.01,MLR,0.8305
2,0.02,1000,0.01,MLR,0.986
2,0.07,50,0.01,MLR,0.369
2,0.07,100,0.01,MLR,0.6395
2,0.07,150,0.01,MLR,0.849
2,0.07,250,0.01,MLR,0.9705
2,0.07,500,0.01,MLR,1
2,0.07,1000,0.01,MLR,1
